brand,model,color,registration_date,year,price_in_euro,power_kw,power_ps,transmission_type,fuel_type,fuel_consumption_l_100km,fuel_consumption_g_km,mileage_in_km
ford,Ford Kuga,black,01 05 2023,2023,38490,140,190,Automatic,Hybrid,5.4,124,100
hyundai,Hyundai i10,black,01 09 2018,2018,11555,49,67,Manual,Petrol,4.6,106,27782
honda,Honda CR V,red,01 07 2018,2018,24490,114,155,Automatic,Petrol,7.5,175,57000
kia,Kia Sportage,black,01 02 2023,2023,34990,110,150,Manual,Petrol,5.9,150,7500
honda,Honda Civic,black,01 09 2009,2009,5800,103,140,Manual,Petrol,6.7,155,160000
hyundai,Hyundai STARIA,white,01 01 2023,2023,56390,130,177,Automatic,Diesel,8.9,232,499
hyundai,Hyundai KONA,red,01 05 2019,2019,18690,88,120,Manual,Petrol,5.4,125,64300
ford,Ford Fiesta,white,01 09 2012,2012,5300,60,82,Manual,Petrol,5.6,129,105000
dacia,Dacia Sandero,grey,01 10 2022,2022,17900,67,91,Manual,Petrol,5,113,50
bmw,BMW 520,black,01 07 2009,2009,6800,120,163,Automatic,Diesel,5.6,0,262000
citroen,Citroen Spacetourer,black,01 10 2018,2018,31900,130,177,Automatic,Diesel,5.9,0,112000
audi,Audi A5,blue,01 05 2019,2019,26450,110,150,Automatic,Diesel,4.6,119,133000
kia,Kia,white,01 11 2016,2016,17950,150,204,Manual,Petrol,7.4,170,47380
alfa romeo,Alfa Romeo 147,red,01 08 2005,2005,2999,77,105,Manual,Petrol,8.2,196,171000
audi,Audi A4,silver,01 09 1999,1999,3000,142,193,Manual,Petrol,9.4,226,449000
ford,Ford Focus,black,01 07 2015,2015,10000,88,120,Manual,Diesel,3.8,0,155000
ford,Ford EcoSport,grey,01 06 2019,2019,14950,74,101,Manual,Petrol,5.3,120,59710
ford,Ford Transit,white,01 11 2016,2016,17500,92,125,Manual,Diesel,7.5,199,118000
audi,Audi A6,silver,01 10 2004,2004,2999,120,163,Automatic,Diesel,6.9,0,340000
audi,Audi Q5,silver,01 01 2020,2020,30980,120,163,Automatic,Diesel,7.2,189,97200
bmw,BMW X5,blue,01 07 2021,2021,68990,245,333,Automatic,Petrol,8.4,192,19788
audi,Audi A4,brown,01 01 2018,2018,16980,140,190,Automatic,Diesel,4.7,123,175049
kia,Kia Sportage,black,01 02 2016,2016,19975,130,177,Automatic,Petrol,7.5,175,65270
land rover,Land Rover Range Rover Sport,black,01 01 2018,2018,45850,190,258,Automatic,Diesel,6.9,183,175000
kia,Kia XCeed,green,01 03 2023,2023,32950,118,160,Automatic,Petrol,6.1,139,500
bmw,BMW X1,grey,01 10 2011,2011,13000,105,143,Automatic,Diesel,5.9,155,87645
hyundai,Hyundai TUCSON,white,01 02 2016,2016,16900,85,116,Manual,Diesel,4.6,122,128000
jaguar,Jaguar F Pace,grey,01 11 2019,2019,43950,221,300,Automatic,Diesel,6.3,166,57950
audi,Audi A6,brown,01 06 2019,2019,31970,150,204,Automatic,Diesel,4.9,129,82850
bmw,BMW 730,black,01 04 2017,2017,44900,195,265,Automatic,Diesel,4.8,127,146000
audi,Audi A3,black,01 11 2018,2018,14880,85,116,Manual,Petrol,4.8,117,115000
bmw,BMW 118,black,01 01 2010,2010,22650,105,143,Manual,Diesel,4.5,119,194999
